x,y,z,DateTime,ML,Iso.,Devi.,DC,CLVD,P-Axisscale,P-Axis Trend (°),P-Axis Plunge (°),T-Axisscale,T-Axis Trend (°),T-Axis Plunge (°),B-Axisscale,B-Axis Trend (°),B-Axis Plunge (°),Plane 1Strike,Plane 1Dip,Plane 1Dip Dir.,Plane 1Rake,Plane 2Strike,Plane 2Dip,Plane 2Dip Dir.,Plane 2Rake,User Tag,Step,Closure_Strain(%),Energy_Release(MJ/m3),DPE(MJ/m3),Elastic_Energy(MJ/m3),Volumetric_Strain(%),Sigma1(MPa),Sigma2(MPa),Sigma3(MPa),Sigma1-Sigma3(MPa),Sxx(MPa),Syy(MPa),Szz(MPa),Sxy(MPa),Sxz(MPa),Syz(MPa),Exx(MPa),Eyy(MPa),Ezz(MPa),Exy(MPa),Exz(MPa),Eyz(MPa),S1,S2,S3,SDip1,SDipDir1,SDip2,SDipDir2,SDip3,SDipDir3,SN1x,SN1y,SN1z,SN2x,SN2y,SN2z,SN3x,SN3y,SN3z,E1,E2,E3,EDip1,EDipDir1,EDip2,EDipDir2,EDip3,EDipDir3,EN1x,EN1y,EN1z,EN2x,EN2y,EN2z,EN3x,EN3y,EN3z
9764.2,16999.6,5671.8,2025-01-01 00:00:00,-0.78,0.05,0.95,0.42,-0.53,-743000000.0,117.45,19.27,600000000.0,25.29,6.14,255000000.0,278.39,69.7,252.8,80.9,342.8,-161.8,159.8,72.0,249.8,-9.5,1.0,74.0,0.0448734,0.0521773,-3.60938e-13,0.0519488,-0.0783865,65.1555,61.1316,23.2283,41.9272,-64.8469,-61.4179,-23.2506,1.07352,0.150134,0.907791,-0.00129607,0.00010193,0.000410271,5.50897e-05,5.5074e-05,-0.00011431,-65.15552932810621,-61.131591309516075,-23.22827936237769,0.1460899989503129,286.059200779858,1.3820105265227383,16.06272525443555,88.61028648149343,190.0261577218743,-0.9609732572102865,0.27662953151842135,-0.0025497487231643206,0.27660905763775545,0.9606798306785183,-0.024118295135569973,-0.0042223405127343105,-0.023882320226320027,-0.9997058600514463,-0.0013003197715632715,6.771705467420501e-05,0.00044873371688906513,2.003441061300428,92.41306178307138,17.984958168902047,183.06371698270306,71.89616143643441,356.2706587373083,0.9985025289642612,-0.042077687198077786,-0.03495951790336085,-0.05083494841574191,-0.9497781637817728,-0.30876730335787267,-0.020211572713263553,0.31008209855356805,-0.9504949155493004
9581.4,16840.0,5730.3,2025-01-01 00:00:00,-1.34,-0.14,0.86,0.78,-0.08,-95000000.0,307.18,4.61,65100000.0,67.34,80.88,-9360000.0,216.54,7.85,45.7,41.0,135.7,102.0,209.9,50.1,299.9,79.7,1.0,74.0,0.0117807,0.00351797,8.03757e-15,0.00350804,-0.00207372,56.5826,36.2834,15.5092,41.0734,-36.7906,-54.0717,-17.5129,3.25172,-2.91415,8.26086,-4.80195e-06,-4.14673e-05,2.5532e-05,6.79443e-05,-6.43307e-05,0.000120015,-56.58264577991614,-36.28338542095725,-15.509168799126572,12.510500902285225,348.822555547267,3.4771175516375568,258.0500565651863,77.00012722422842,152.7905807261559,-0.18924549669408913,0.9577382468928897,-0.2166185412644583,-0.9765278642615088,-0.20667587977470409,-0.06064990552513744,0.10285656178320934,-0.2000563199648713,-0.9743705642825269,-0.0001816012327451474,4.305690147181387e-05,0.00011780708127333351,33.19213159143309,326.1403733496445,10.62775550455263,63.191532197976514,54.71253189513333,168.56712445570398,-0.46625358422722546,0.6949157845971151,-0.5474483057906395,0.8772090091136086,0.4432728913641355,-0.18442748740792494,0.11450742126686173,-0.566216562897497,-0.8162639612131349
9650.8,16869.6,5726.3,2025-01-01 00:00:00,-0.1,-0.27,0.73,0.54,-0.19,-7060000000.0,323.64,25.47,2620000000.0,192.69,53.99,-1210000000.0,65.67,23.64,13.0,28.8,103.0,33.7,252.7,74.5,342.7,114.6,1.0,74.0,0.0226194,0.000193372,8.9792e-14,-0.000934249,0.00173838,51.5247,36.5821,18.6218,32.9029,-36.4891,-50.7983,-19.4411,-0.371576,1.51063,4.74814,-3.04968e-05,7.93445e-05,-3.14638e-05,-3.11416e-05,8.94608e-05,0.000190861,-51.524659926920684,-36.582045906444414,-18.621794166634885,8.516593846298335,2.277464622844292,4.228987436589273,92.91190871369488,80.47720787071204,209.06653568226858,0.03930059067750559,0.9881918262440047,-0.14809584098460704,0.995989632024075,-0.05066220431641691,-0.07374275526686942,-0.080374849753806,-0.14460378832637943,-0.9862198679446246,-0.0002185384821014161,9.728265214953591e-06,0.0002261941168864624,47.42174753267867,40.12126398235975,16.034968794995027,291.89382148255277,38.14423460938786,188.84897638546806,0.4360038525459214,0.5173813836358195,-0.7363539532264354,-0.891775848867579,0.35837989200983933,-0.2762239822671536,-0.12098130409953242,-0.777097392139557,-0.617643236171397
9654.8,16833.6,5737.7,2025-02-01 00:00:00,-1.39,-0.19,0.81,0.74,-0.07,-99100000.0,323.77,33.62,58900000.0,183.41,49.19,-14900000.0,68.02,20.32,2.1,22.1,92.1,22.5,251.1,81.7,341.1,110.5,1.0,75.0,0.00522162,0.000928405,3.74649e-15,0.000916353,-0.00124191,52.1763,37.7594,17.3886,34.7878,-38.004,-51.5941,-17.7262,2.24944,1.10159,2.95682,-2.4392e-05,-5.92354e-07,1.25653e-05,4.40293e-05,2.39159e-05,1.6007e-05,-52.17634636949742,-37.759416242993225,-17.38853738750932,4.575656473670108,351.3332359840526,4.332749984791085,81.6806526524366,83.69209817054117,214.94821363561945,-0.15020713054904047,0.9854307188907877,-0.07977541098990802,0.9866491739232606,0.14427682221000557,-0.07554870064752907,-0.06293826760223889,-0.09005829689355585,-0.9939458122210995,-5.9441006516797995e-05,-5.1943299320538e-06,5.221628244885178e-05,8.226398470604497,124.99868815553002,53.77912767349606,23.61475678993949,34.981651272604935,220.8047641265444,0.8107363036650447,-0.5676560080679962,-0.14308494827845236,0.23670553424148152,0.541417420656542,-0.8067451063806163,-0.5354223902481059,-0.6201885464227181,-0.5733140770180695
9462.2,17078.1,5941.4,2025-02-01 00:00:00,-0.98,0.23,0.77,0.63,0.14,-67000000.0,356.09,0.41,141000000.0,256.28,87.58,22100000.0,86.1,2.38,268.5,45.5,358.5,93.3,83.7,44.6,173.7,86.6,1.0,75.0,0.0190771,0.00438551,1.0947e-13,-0.000764487,0.00614902,35.0,15.6582,13.4124,21.5877,-15.0605,-34.9285,-14.0816,-0.0703459,-0.990107,1.22323,0.000181892,-5.66077e-05,-6.37944e-05,8.6509e-06,-4.65491e-05,-4.75704e-06,-35.00003758858285,-15.658202507432122,-13.41235990398502,3.3449344469267768,0.035853979394318,31.000173715374096,268.0233004967973,58.77936137259647,95.56938635627466,0.0006247038658069406,0.9982961693198592,-0.05834696278620877,-0.8566556715100015,-0.029566278848467086,-0.5150406737577169,0.5158882342279462,-0.05030500448613291,-0.855177605125872,-7.292745235058047e-05,-5.635305666339442e-05,0.00019077040901397502,75.15532673379111,221.59263981354326,10.479718311924186,355.8506592788967,10.39483213951547,87.7951722682837,-0.17007295674326747,-0.19160735203874496,-0.9666239248173527,-0.07114942084595248,0.9807419191908375,-0.18188745931250555,0.9828595776090743,0.03784059442679804,-0.180430430126236
9773.0,16979.9,5646.4,2025-03-01 00:00:00,1.58,0.06,0.94,0.47,0.47,-224000000000.0,171.76,15.82,352000000000.0,265.21,12.0,-59400000000.0,30.84,69.95,309.0,70.1,39.0,-177.2,218.0,87.4,308.0,-19.9,1.0,76.0,0.00241413,0.00617674,-1.52553e-13,0.00593512,-0.0172412,62.1205,47.7629,28.9917,33.1288,-47.0802,-62.069,-29.7259,0.564851,-3.60408,0.841977,-6.03914e-05,-4.57734e-06,-0.000107443,8.54957e-06,-7.77167e-05,-3.30663e-05,-62.12050671329379,-47.76288994809519,-28.99170333861099,1.7735742791298077,357.4243826028612,11.154116238078563,267.07456729886985,78.70217649545512,96.34079221847011,-0.044916337535282444,0.9985112090077657,-0.030949767499398637,-0.9798318063573729,-0.05007219601695328,-0.19344871784658446,0.1947104359629024,-0.021636558688710974,-0.980622101247594,-0.00016800970332786567,-2.8543414888170603e-05,2.4141378216036308e-05,53.944509456915924,256.8817604989057,19.717409053465634,137.39090638246648,28.83392632881195,36.011465556527014,-0.57320908209002,-0.13358230261509368,-0.808447349329297,0.6372994003219548,-0.692837159716962,-0.3373813042606384,0.5150541938075973,0.7086130386490088,-0.48227247370944176
9819.4,16991.2,5679.4,2025-03-01 00:00:00,-0.22,-0.24,0.76,0.51,-0.25,-3760000000.0,16.86,30.04,1470000000.0,148.29,48.85,-432000000.0,271.01,25.28,155.8,27.6,245.8,157.3,266.1,79.7,356.1,64.3,1.0,76.0,0.0135934,0.0028653,-7.23882e-14,0.00279198,-0.000665162,59.3973,39.3003,18.2239,41.1734,-38.2272,-59.2502,-19.4441,1.28707,-4.88845,1.33791,3.04181e-05,-7.28875e-05,3.58177e-05,2.14534e-05,-9.8651e-05,-2.00922e-05,-59.39731300782694,-39.30031438710952,-18.22387260506354,2.405650065022137,355.96608979811873,13.49454633457754,265.38843722683606,76.28468699977121,95.87817797675974,-0.07028486747359348,0.9966434696918396,-0.04197417926333406,-0.9692441853639564,-0.07818040663081642,-0.23335280833364916,0.23585111096278527,-0.02428205797808951,-0.9714857873988526,-7.717313132962768e-05,-6.541290825510953e-05,0.00013593433958473714,1.053981213164832,169.67117014434533,44.82098367727613,260.71876221070045,45.15962971987656,78.61111954735786,0.17926692415302725,-0.9836284947940475,-0.01839440496209287,-0.7000267201358451,-0.11439840474598446,-0.704894031814304,0.6912495649188961,0.13924075991164075,-0.7090740791896609
9739.7,16991.4,5687.9,2025-03-01 00:00:00,-0.6,-0.13,0.87,0.76,-0.11,-1360000000.0,20.7,39.01,926000000.0,174.44,47.91,-101000000.0,279.64,13.33,170.0,14.1,260.0,160.9,278.6,85.4,8.6,76.6,1.0,76.0,0.0215404,0.00302813,-5.62207e-14,0.00290174,0.00110512,60.8706,35.7846,17.9682,42.9024,-35.1651,-60.0065,-19.4519,-4.70927,4.88219,-0.657547,8.63043e-05,-9.7597e-05,2.23439e-05,-0.000104983,0.00010927,-6.24483e-05,-60.87062715724911,-35.784649943207775,-17.968222899543107,0.3296224065618613,10.443084443485276,16.764424644561096,100.54238118145169,73.232142566793,279.3490261668406,0.18125570630481275,0.983419174274555,-0.005752964548450408,0.9413360429101455,-0.17518663820700095,-0.2884373348094834,-0.28466264814726194,0.04686543996253027,-0.9574814918769483,-0.00014642757769782664,-5.792506332396556e-05,0.00021540384102179222,5.94043455471255,201.7272640095078,56.300082479396096,102.75120445234928,33.03186680095269,295.6065893330514,-0.368200936046806,-0.9239680521826318,-0.10349448893583407,0.5411595090159474,-0.12246385375784154,-0.831954920848718,-0.756025433762565,0.36233360742361675,-0.5451054030511104
9730.2,16969.1,5716.6,2025-03-01 00:00:00,-1.07,-0.11,0.89,0.81,-0.08,-280000000.0,331.35,3.85,206000000.0,62.6,17.89,-20200000.0,229.63,71.68,105.6,74.7,195.6,169.9,198.3,80.2,288.3,15.6,1.0,76.0,0.0530582,0.000531425,-7.25433e-15,0.000514458,0.0131514,56.7485,29.5423,21.6588,35.0898,-29.2909,-56.6305,-22.0281,1.45014,1.51015,1.27767,0.000494876,-0.00027445,-8.89123e-05,9.14178e-05,0.000133195,-7.64123e-05,-56.74851649524612,-29.5422465439475,-21.658736960806372,1.9781923311556362,357.08549421073803,11.761337139774392,87.4975344709591,78.06875986996512,257.6776614442822,-0.05081548584916433,0.9981113251605032,-0.03451911042100592,0.9780715241492858,0.042745693269142446,-0.20383547128807916,-0.20197494905607993,-0.0441201574485478,-0.9783964082418277,-0.0003237511908988348,-7.531679490494616e-05,0.0005305816858037811,22.848889547567097,169.7211910902347,64.14616120160983,19.31472340981395,11.44665458242164,264.6155799686148,0.16443663929178243,-0.9067425792302104,-0.3883020559685073,0.1442354504141026,0.4115327465549833,-0.8999094028605062,-0.9757851846089206,-0.09197115593411652,-0.19845548612693295
9789.5,17005.2,5667.9,2025-03-01 00:00:00,0.44,-0.14,0.86,0.43,-0.43,-18700000000.0,300.6,17.11,9360000000.0,42.32,33.42,1310000000.0,187.96,51.36,76.7,53.3,166.7,166.9,174.6,79.5,264.6,37.4,1.0,76.0,0.00637787,0.00525493,-1.19616e-13,0.00505359,-0.011754,59.9931,45.8587,23.8964,36.0967,-45.9479,-59.5439,-24.2564,2.44305,-2.81611,0.433635,-8.61124e-05,-1.21925e-05,-1.92356e-05,4.95764e-05,-5.5661e-05,-4.25338e-05,-59.993095788960645,-45.85875592809219,-23.896348282947173,1.480434786416728,349.84007292295894,7.104583336169617,259.6555133645467,82.74125171988159,91.54693893672663,-0.17633746615401408,0.9839906607815578,-0.025835586408193046,-0.9761927579068435,-0.1781873872079886,-0.12368085725051117,0.12630438409102177,-0.0034109433686430437,-0.9919856692637871,-0.00012350884315881654,-5.781034667557161e-05,6.377868983438806e-05,21.85430777215865,285.9590984745318,43.24011354802145,173.80123125084566,38.77041727362534,34.75081627649038,-0.8923614946570558,0.25519127700707517,-0.37224773336170025,0.07866079972368106,-0.7242299191754636,-0.6850572988866935,0.44441359277170667,0.6406000595618139,-0.6262013432188916
